element;excel_kpi;statut_bim
"nombre alertes critiques";"À créer · Alertes critiques";"BIM absent · table fact_alertes à créer"
"nombre alertes hautes";"À créer · Alertes hautes";"BIM absent · table fact_alertes à créer"
"nombre alertes moyennes";"À créer · Alertes moyennes";"BIM absent · table fact_alertes à créer"
"nombre alertes ouvertes";"À créer · Alertes ouvertes";"BIM absent · table fact_alertes à créer"
"couleur alerte";"À créer · règle couleur niveau_priorite";"BIM absent · fact_alertes à créer"
"niveau alerte volume";"G.3 · seuil variation volume affaires";"BIM absent · fact_affaires + alerte à créer"
"niveau alerte rdv";"G.13/G.15 · seuil taux réalisation RDV";"BIM OK · _Indicateurs[Taux réalisation de rendez-vous]"
"niveau alerte reseau";"G.6 · seuil taux mandataires actifs";"BIM OK partiel · _Indicateurs[Nombre mandataires actifs]"
"recommandation volume";"G.3 · recommandation volume";"BIM absent · fact_affaires + recommandation à créer"
"détail alertes";"À créer · fact_alertes";"BIM absent · table fact_alertes à créer"
"taux atteinte budget n volume";"Calcul à créer · G.3/G.5";"BIM absent · fact_affaires + budget_affaires à créer"
"budget n volume affaires";"G.5 · Budget affaires en euro";"BIM absent · budget_affaires à intégrer"
"budget affaires en nombre";"G.4 · Budget affaires en nombre";"BIM absent · budget_affaires à intégrer"
"nombre d’affaires produites";"G.2 · Nombre affaires produites";"BIM absent · fact_affaires à créer"
"volume d’affaires produites";"G.3 · Volume affaires produites (€)";"BIM absent · fact_affaires à créer"
"volume d’affaires en instance";"À confirmer · non explicite Excel";"BIM absent · statut affaires/fact_affaires à créer"
"volume d’affaires commissionnées";"À confirmer · affaires commissionnées";"BIM absent · fact_affaires à créer"
"répartition des affaires commissionnées";"À confirmer · détail affaires commissionnées";"BIM absent · fact_affaires + dimension produit à créer"
"montant moyen de rétrocommission";"Hors Excel direct · indicateur demandé maquette";"BIM OK · _Indicateurs[Montant moyen de rétrocommission]"
"montant rétrocommission";"Hors Excel direct · rétrocommission";"BIM OK · _Indicateurs[Montant rétrocommission]"
"comparaison de deux mois";"G.2/G.3 · mois référence vs comparé";"BIM absent · fact_affaires + Date à relier"
"mois référence";"G.2/G.3 · comparaison période";"BIM absent · fact_affaires à créer"
"évolution du nombre d’affaires";"G.2 + indicateurs instance/commissionnées à confirmer";"BIM absent · fact_affaires à créer"
"volume d’affaires";"G.3 · Volume affaires produites (€)";"BIM absent · fact_affaires à créer"
"nombre de ventes";"G.1 · Nombre de ventes";"BIM absent · fact_ventes/fact_affaires à créer"
"nombre de mia oriasés";"À confirmer · MIA ORIAS non explicite";"BIM partiel · dim_mandataire[numero_orias], mesure à créer"
"nombre de mia actifs";"G.6 · Nombre mandataire actif";"BIM OK · _Indicateurs[Nombre mandataires actifs]"
"nombre de mandataire inactif";"G.7 · Nombre mandataire inactif";"BIM OK · _Indicateurs[Nombre mandataires inactifs]"
"nombre de mia productifs";"G.8 · Nombre mandataire productif";"BIM absent · mesure productifs à créer"
"mandataire non productif";"G.9 · Nombre mandataire non productif";"BIM absent · mesure non productifs à créer"
"nombre total de mia commissionnés";"G.10 · Mandataires rétrocommissionnés";"BIM OK · _Indicateurs[Nombre mandataires rétrocommissionnés]"
"mandataire non rétrocommissionné";"G.11 · Mandataires non rétrocommissionnés";"BIM absent · mesure à créer"
"flag rétro";"G.10/G.11 · statut rétrocommission";"BIM OK · fact_rendez_vous_client[Flag rétrocommissionné]"
"flag actif";"G.6/G.7 · statut actif";"BIM OK · fact_activite_mandataire[Flag mandataire actif]"
